"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad.","female",6,-119.83936,37.74886,1915,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",50.6,NA,10.4,981,6.15961923262381,117.655754849278,"Summer",142215,9.85,1067.5,6.15304143117371,151.481769461915,9.08,1004.8,6.30123336938315,135.940103691848,"F","Adult"
"ad.","male",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",46.4,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",141889,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"M","Adult"
"ad.","male",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",45.2,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",141887,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"M","Adult"
"ad.","male",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",48,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",142100,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"M","Adult"
"ad.","male",8,-120.2399175,39.4319691,1952,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",53.8,NA,4,1112,7.61069323486051,114.741707958153,"Summer",142116,4.25,1054.5,7.20611524712668,107.808594678723,4.22,928.8,7.09268834048458,99.0273339860909,"M","Adult"
"ad.","female",6,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",45.5,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",141884,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"F","Adult"
"ad.","male",6,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",43.3,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",142095,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"M","Adult"
"ad.","female",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",46.2,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",142102,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"F","Adult"
"ad.","female",8,-119.727378,38.281783,1953,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",39.4,NA,3.7,857,5.90861594827777,79.3692990918316,"Summer",142117,3.5,1293,6.6663889881451,89.7426749384598,3.82,1381.4,6.85311460048549,103.360424603759,"F","Adult"
"ad.","male",10,-118.34507,35.4793329,1933,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",51.8,NA,8.2,270,8.08346610325201,165.121056109658,"Fall",142242,8.2,285,8.08187959487281,139.44937323008,8.9,294.6,7.61790156542227,128.058997488723,"M","Adult"
"ad.","male",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",43,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",141888,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"M","Adult"
"ad.","female",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",45.5,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",142101,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"F","Adult"
"ad.","female",7,-120.7617707,41.8993424,1949,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",48.5,NA,6.8,368,8.90928609866575,93.7607611271232,"Summer",142099,6.35,460.5,8.24152981336957,74.5070436660373,7.04,460,7.75703178504901,74.3240434995677,"F","Adult"
"ad.","female",7,-120.11166,37.75634,1920,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",52,NA,11.8,1003,6.41250553783209,104.637556634204,"Summer",142016,11.95,892.5,6.63476512410699,116.960616796647,12.54,903.4,7.1042875536669,138.22827715511,"F","Adult"
"Ad","female",1,-117.411877,47.78061,1962,"Sphyrapicus ruber","Sphyrapicus_ruber",72.2,241,9.3,433,8.11091669892927,54.1072077801189,"Winter",141865,9.6,461.5,8.46497800996777,61.4577011266529,9.62,487.6,8.46582853347866,67.6780164217453,"F","Adult"
"Ad.","female",1,-122.8308,38.39691,1978,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",39.8,NA,14.3,1002,4.3793160528682,143.140304981918,"Winter",142322,14.1,858.5,4.24441507171987,127.119186982387,13.74,776,4.30085595554633,126.437671126795,"F","Adult"
"Ad.","female",2,-122.57803,38.40256,1984,"Sphyrapicus ruber","Sphyrapicus_ruber",45.9,NA,15,764,5.37671748458954,155.631219476282,"Winter",142323,14.9,1463,5.22099421236195,130.231935544514,14.64,1347.6,4.73847216487772,122.67368832847,"F","Adult"
"AD","female",4,-134.555,58.3449,2006,"Sphyrapicus ruber","Sphyrapicus_ruber",53,NA,4.9,1913,6.32586681088773,38.270667398075,"Spring",142063,5.65,1964,6.10197313730435,38.5659229701533,5.82,1747.8,6.0157193205516,46.2362081238039,"F","Adult"
"AD","female",6,-131.619,55.331,2001,"Sphyrapicus ruber","Sphyrapicus_ruber",54.5,NA,7.1,3437,4.56238740002192,42.278124329382,"Summer",142276,7.15,3228.5,4.71051272168986,39.7618001811813,7.52,3124.2,4.77020078064048,41.2460677875173,"F","Adult"
"AD","female",6,-132.3,53.37,1999,"Sphyrapicus ruber","Sphyrapicus_ruber",55.3,NA,6.4,2736,4.23559054592477,46.7754844059209,"Summer",142275,7.05,2358.5,4.45907503178893,57.269004512797,7.1,2250.8,4.71042490561959,60.4898791372122,"F","Adult"
"AD","male",6,-130.014,55.917,1997,"Sphyrapicus ruber","Sphyrapicus_ruber",54.7,NA,5.8,1970,6.69902751874999,54.568761871554,"Summer",142061,4.8,1835,7.41155860567265,52.928863023028,5.3,1775.2,7.3522614916705,62.2160516286449,"M","Adult"
"AD","male",6,-132.3,53.37,1999,"Sphyrapicus ruber","Sphyrapicus_ruber",57.4,NA,6.4,2736,4.23559054592477,46.7754844059209,"Summer",142060,7.05,2358.5,4.45907503178893,57.269004512797,7.1,2250.8,4.71042490561959,60.4898791372122,"M","Adult"
"AD","female",6,-132.3,53.37,1998,"Sphyrapicus ruber","Sphyrapicus_ruber",55,NA,7.7,1981,4.6825595176531,67.7625246196731,"Summer",142067,7.75,2106.5,4.67604257852418,63.5539258565697,7.22,2201.2,4.86419579521462,62.9365860552429,"F","Adult"
"AD","male",5,-135.4642,59.2327,2008,"Sphyrapicus ruber","Sphyrapicus_ruber",55,NA,4.2,1349,7.39833621754775,52.4300443789948,"Spring",142065,4.5,1280.5,7.54638276434751,61.7872787955567,5.3,1264,7.3034034407685,62.4380874585151,"M","Adult"
"AD ?","undetermined",12,-132.3,53.37,2000,"Sphyrapicus ruber","Sphyrapicus_ruber",58,NA,7.1,1841,4.62020431136848,55.265610268007,"Winter",142280,6.75,2288.5,4.42789742864662,51.020547336964,7.06,2207.4,4.6821352930405,57.3076469311605,"NS","Adult"
"ad.sk.","male",6,-115.70722,36.42194,1963,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",45.7,NA,10.7,412,7.88063891426131,156.158481061255,"Summer",141903,10.9,273,7.89930425200681,125.91453595373,11.04,285.4,8.09183188657726,118.752199520053,"M","Adult"
"ad.sk.","female",6,-122.0921,42.2089,1964,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",53.3,NA,6.2,765,6.90434645712395,157.501906375894,"Summer",141909,6.65,620,6.56280991677559,111.613556506252,6.94,576,6.8064998993405,97.8465494622011,"F","Adult"
"ad.sk.","male ?",6,-122.0921,42.2089,1964,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",45.8,NA,6.2,765,6.90434645712395,157.501906375894,"Summer",141911,6.65,620,6.56280991677559,111.613556506252,6.94,576,6.8064998993405,97.8465494622011,"NS","Adult"
"adult","female",6,-120.794605,40.663347,2006,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",39.5,NA,9.1,570,8.12095586999611,90.642643550796,"Summer",142210,8.95,647.5,7.9676391923445,106.235956262939,9.12,571.6,7.81657658929933,110.147158079139,"F","Adult"
"adult","male",6,-120.83662,40.6661,2006,"Sphyrapicus ruber daggetti","Sphyrapicus_ruber",46.2,NA,8.8,695,8.10684334935054,91.8978204569927,"Summer",142001,8.65,779.5,7.95581750055175,105.335446262999,8.82,685,7.80648909412873,108.969826946349,"M","Adult"
