SpeciesName_cor,taxon,N (Vertnet),common name,min,max,units,source,note,Habitat,Migratory,RangeChar,SpeciesName
Picoides_pubescens,aves,886,Downy woodpecker,20,31,g,https://www.allaboutbirds.org/guide/Downy_Woodpecker/lifehistory,,forest,resident,,Picoides pubescens
Picoides_villosus,aves,1053,Hairy woodpecker,48,74,g,,,foret ,resident,,Picoides villosus
Pinicola_enucleator,aves,566,Pine Grosbeak,52,78,g,https://en.wikipedia.org/wiki/Pine_grosbeak,,open woodland,resident to short dist migrant,,Pinicola enucleator 
Pipilo_erythrophthalmus,aves,972,Eastern towhee,32,53,g,https://en.wikipedia.org/wiki/Eastern_towhee,,scrub,short dist migrant,,Pipilo erythrophthalmus
Pipilo_maculatus,aves,2590,Spotted towhee,30,51,g,https://birdsna.org/Species-Account/bna/species/spotow/appearance,,scrub,resident or short dist migrant,,Pipilo maculatus
Pipistrellus_hesperus,mammal,309,Western pipstrelle,3,7,g,,,scrub,,,Pipistrellus hesperus
Poecile_atricapillus,aves,536,Black-capped chickadee,8,16,g,,,forest,resident,,Poecile atricapillus
Poecile_gambeli,aves,1025,Mountain chickadee,9,15,g,https://birdsna.org/Species-Account/bna/species/mouchi/appearance,,forest,resident,,Poecile gambeli
Polioptila_caerulea,aves,362,Blue-gray Gnatcatcher,4,9,g,https://birdsna.org/Species-Account/bna/species/buggna/appearance#mass,,forest,resident to long dist. Migrant,,Polioptila caerulea
Pooecetes_gramineus,aves,805,Vesper sparrow,19,30,g,https://birdsna.org/Species-Account/bna/species/vesspa/appearance,,grassland,partial migrants,,Pooecetes gramineus
Procyon_lotor,mammal,387,Raccoon,1800,10400,g,,,all w/ water nearby,,,Procyon lotor
Psaltriparus_minimus,aves,1244,Bushtit,3,7,g,https://www.allaboutbirds.org/guide/Bushtit/lifehistory,,scrub,resident,,Psaltriparus minimus
Quiscalus_quiscula,aves,1545,Common grackle,74,142,g,https://birdsna.org/Species-Account/bna/species/comgra/appearance#mass,,open woodland,resident to short dist. migrant,,Quiscalus quiscula 
Regulus_satrapa,aves,711,Golden-crowned kinglet,4,9,g,https://birdsna.org/Species-Account/bna/species/gockin/appearance#mass,,forest,Resident to medium-distance migrant.,,Regulus satrapa
Reithrodontomys_fulvescens,mammal,458,Fulvous harvest mouse,6.5,25,g,http://naturalhistory.si.edu/mna/image_info.cfm?species_id=290,,grasss/scrub,,,Reithrodontomys fulvescens
Reithrodontomys_megalotis,mammal,1740,Western harvest mouse,8,17,g,,,grassland,,,Reithrodontomys megalotis
Salpinctes_obsoletus,aves,424,Rock wren,13,21,g,https://www.allaboutbirds.org/guide/Rock_Wren/lifehistory,,mountains,migratory,,Salpinctes obsoletus
Sciurus_carolinensis,mammal,431,Eastern gray squirrel,338,750,g,,,woodlands,,,Sciurus carolinensis 
Sciurus_griseus,mammal,332,Western gray squirrel,350,950,g,http://animaldiversity.org/accounts/Sciurus_griseus/,,woodlands,,,Sciurus griseus
Scolopax_minor,aves,315,Woodcock,116,279,g,https://birdsna.org/Species-Account/bna/species/amewoo/appearance,,forest,resident or short dist migrant,,Scolopax minor
Setophaga_ruticilla,aves,730,American redstart,5,11,g,,,forest,migratory,,Setophaga ruticilla
Sialia_mexicana,aves,503,Western bluebird,24,31,g,,,open woodland,Resident to medium-distance migrant.,,Sialia mexicana
Sialia_sialis,aves,401,eastern bluebird,26,36,g,https://www.allaboutbirds.org/guide/Eastern_Bluebird/lifehistory,,grassland,Resident to medium-distance migrant.,,Sialia sialis
Sigmodon_hispidus,mammal,1955,Hispid cotton rat,100,225,g,http://animaldiversity.org/accounts/Sigmodon_hispidus/,,grassland,,,Sigmodon hispidus
Sitta_canadensis,aves,528,Red-breaster nuthatch,7,14,g,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch/lifehistory,,forest,resident to short dist migrant,,Sitta canadensis
Sitta_carolinensis,aves,1113,White-breasted nuthatch,18,30,g,,,forest,resident,,Sitta carolinensis
Sitta_pygmaea,aves,504,Pygmy nuthatch,7,14,g,,,forest,resident,,Sitta pygmaea
Sorex_bendirii,mammal,365,Pacific water shrew,7.5,21,g,https://naturalhistory.si.edu/mna/image_info.cfm?species_id=316,,marsh,,,Sorex bendirii
Sorex_monticolus,mammal,">10,000",Dusky shrew,4,9,g,,,broad,,,Sorex monticolus
Sorex_trowbridgii,mammal,6533,Trowbridge's Shrew ,3,6,g,https://naturalhistory.si.edu/mna/image_info.cfm?species_id=332,,forest,,,Sorex trowbridgii
Sorex_vagrans,mammal,6234,shrew,3,8,g,smithsonian,,foresst/marsh,,,Sorex vagrans
Sphyrapicus_nuchalis,aves,572,Red-naped Sapsucker,32,66,g,https://birdsna.org/Species-Account/bna/species/rensap/appearance,,forest,short dist migrant,,Sphyrapicus nuchalis 
Sphyrapicus_ruber,aves,599,red-breasted sapsucker,39,68,g,https://www.allaboutbirds.org/guide/Red-breasted_Sapsucker/lifehistory,,forest,resident,,Sphyrapicus ruber
Strix_varia,aves,511,Barred Owl,470,1050,g,,,forest and shrub,resident,,Strix varia
Sturnella_magna,aves,554,Eastern Meadowlark,76,150,g,,,grassland,resident to short dist migrant,,Sturnella magna
Sturnella_neglecta,aves,549,Western meadowlark,85,120,g,https://www.allaboutbirds.org/guide/Western_Meadowlark/lifehistory,,grassland,resident to medium-distance migrant.,,Sturnella neglecta
Sylvilagus_audubonii,mammal,441,desert cottontail,500,1400,g,smithsonian,,grassland,,,Sylvilagus audubonii
Sylvilagus_floridanus,mammal,388,Eastern cottontail,800,1530,g,,,grassland,,,Sylvilagus floridanus
Synaptomys_borealis,mammal,672,Northern bog lemming,21.4,50,g,http://www.science.smith.edu/msi/pdf/i0076-3519-210-01-0001.pdf,,grassland,,,Synaptomys borealis
Tamias_amoenus,mammal,2166,Yellow-pine chipmunks,30,73,g,http://animaldiversity.org/accounts/Tamias_amoenus/,,forest,,,Tamias amoenus
Tamias_dorsalis,mammal,405,cliff chipmunk,54,75,,"http://animaldiversity.org/accounts/Tamias_dorsalis/, https://naturalhistory.si.edu/mna/image_info.cfm?species_id=384",,scrub,,,Tamias dorsalis
Tamias_minimus,mammal,2521,Least chipmunk,25,66,g,https://en.wikipedia.org/wiki/Least_chipmunk,,forest,,,Tamias minimus
Tamias_striatus,mammal,538,chipmunk,80,150,g,smithsonian,,woodlands,,,Tamias striatus
Tamiasciurus_douglasii,mammal,923,squirrel,141,312,g,smithsonian,,forest,,,Tamiasciurus douglasii
Thomomys_bottae,mammal,2040,pocket gopher,110,250,g,smithsonian,,scrub to forest,,,Thomomys bottae
Thomomys_talpoides,mammal,1144,Northern pocket gopher,60,160,g,http://animaldiversity.org/accounts/Thomomys_talpoides/,,scrub/woodland,,,Thomomys talpoides
Thryomanes_bewickii,aves,824,Bewick's wren,6,13,g,,,open woodland,resident,,Thryomanes bewickii
Thryothorus_ludovicianus,aves,264,Carolina wren,6,25,g,,,open woodland,resident,,Thryothorus ludovicianus
Tympanuchus_phasianellus,aves,358,Sharp-tailed grouse,596,1031,g,https://www.allaboutbirds.org/guide/Sharp-tailed_Grouse/lifehistory,,grassland,resident,,Tympanuchus phasianellus
Tyto_alba,aves,696,Barn Owl,400,700,g,,,grassland,resident,,Tyto alba
Vireo_cassinii,aves,450,Cassin's vireo,12,19,g,https://www.allaboutbirds.org/guide/Cassins_Vireo/lifehistory,,forest,short to medium distance,,Vireo cassinii
Vireo_gilvus,aves,822,Warbling vireo,9,17,g,,,open woodland,"Medium- to long-distance, nocturnal migrant",,Vireo gilvus
Zapus_hudsonius,mammal,975,Meadow jumping mouse,11,25,g,,,grassland,,,Zapus hudsonius
Zapus_princeps,mammal,1592,Western jumpin mouse,18,35,g,,,moist grassland,,,Zapus princeps
Zapus_trinotatus,mammal,976,Pacific jumping mouse,15,38,g,http://www.burkemuseum.org/research-and-collections/mammalogy/collections/mamwash/rodentia.php#Pacific_Jumping_Mouse,,wet forest,,,Zapus trinotatus 
Zenaida_macroura,aves,802,Mourning dove,100,170,g,,,open woodlands,Resident to long-distance migrant,,Zenaida macroura 
Zonotrichia_albicollis,aves,923,White-throated sparrow,22,32,g,https://www.allaboutbirds.org/guide/White-throated_Sparrow/lifehistory,,forest,short ,,Zonotrichia albicollis 
Zonotrichia_leucophrys,aves,2725,White-crowned Sparrow,24,34,g,https://birdsna.org/Species-Account/bna/species/whcspa/appearance,,scrub,resident or medium dist. Migrants,,Zonotrichia leucophrys
Martes_americana,mammal,1899,American marten,280,1300,g,http://animaldiversity.org/accounts/Martes_americana/,,forest,,,Martes americana
Cratogeomys_castanops,mammal,662,Yellow-faced pocket gopher,225,410,g,https://naturalhistory.si.edu/mna/image_info.cfm?species_id=244,,grassland,,,Cratogeomys castanops
Notiosorex_crawfordi,mammal,326,Desert shrew,2.9,6.3,g,http://naturalhistory.si.edu/mna/image_info.cfm?species_id=221,,desert/scrub,,,Notiosorex crawfordi
Peromyscus_keeni,mammal,">10,000",Northwestern deermouse,10,31,g,http://animaldiversity.org/accounts/Peromyscus_keeni/,,forests,,,Peromyscus keeni
Sorex_palustris,mammal,470,Water shrew,8,18,g,https://naturalhistory.si.edu/mna/image_info.cfm?species_id=322,,forest (humid),,,Sorex palustris
Tamiasciurus_hudsonicus,mammal,2484,red squirrel,140,282,g,"smithsonian, http://www.science.smith.edu/msi/pdf/i0076-3519-586-01-0001.pdf",,forest,,,Tamiasciurus hudsonicus
Melozone_fusca,aves,387 P. Fuscus+73 Melozone fusca,Canyon Towhee,36.5,67,g,"https://www.allaboutbirds.org/guide/Canyon_Towhee/lifehistory, https://en.wikipedia.org/wiki/Canyon_towhee",,scrub,resident-short dist,,Melozone fusca (Pipilo fuscus)
Dendroica_pinus,aves,225 (+42 Setophaga),pine warbler,9,17,g,"https://www.allaboutbirds.org/guide/Pine_Warbler/lifehistory, https://birdsna.org/Species-Account/bna/species/pinwar/appearance#mass",Also known as Setophaga pinus,forest,,,Dendroica (Setophaga) pinus
Corynorhinus_townsendii,mammal,"230 C. townsendii, 74 P townsendii",Townsend's big-eared bat,6,12,g,https://en.wikipedia.org/wiki/Townsend%27s_big-eared_bat,,forest,,,Corynorhinus (Plecotus) townsendii 
Haemorhous_purpureus,aves,665 C. purpueus + 53 H. purpureus,Purple finch,18,32,g,https://www.allaboutbirds.org/guide/Purple_Finch/lifehistory,,forest,short dist migrant,,Haemorhous (Carpodacus) purpureus
Ictidomys_tridecemlineatus,mammal,144 + 232 (I. and S.),Thirteen-lined ground squirrel,110,270,g,https://en.wikipedia.org/wiki/Thirteen-lined_ground_squirrel,,scrub/grassland,,,Ictidomys (Spermophilus) tridecemlineatus
Melozone_crissalis,aves,680 (P. crissalis) + 26 (M. crissalis),California Towhee,37,67,g,https://birdsna.org/Species-Account/bna/species/caltow/appearance,,scrub/grassland,,,Melozone (Pipilo) crissalis
